game_id,date,game_time,away_team,home_team,market_spread_home,baseline_margin,pred_margin_mu,actual_home,actual_away,actual_margin,actual_home_covers,pred_home_covers,ats_correct,actual_home_wins,pred_home_wins,ml_correct,abs_error
2024-10-23-ORL-MIA,2024-10-23,,ORL,MIA,-2.0,2.0,1.529800981283188,97,116,-19,0,0,1,0,1,0,20.529800981283188
2024-10-23-MIL-PHI,2024-10-23,,MIL,PHI,4.0,-4.0,-3.704434871673584,109,124,-15,0,1,0,0,0,1,11.295565128326416
2024-10-23-CLE-TOR,2024-10-23,,CLE,TOR,6.5,-6.5,-6.077864825725555,106,136,-30,0,1,0,0,0,1,23.922135174274445
2024-10-23-CHA-HOU,2024-10-23,,CHA,HOU,-8.5,8.5,8.447681114077568,105,110,-5,0,0,1,0,1,0,13.447681114077568
2024-10-23-CHI-NOP,2024-10-23,,CHI,NOP,-5.0,5.0,5.356383174657822,123,111,12,1,1,1,1,1,1,6.643616825342178
2024-10-23-MEM-UTA,2024-10-23,,MEM,UTA,2.0,-2.0,-1.9949651611968875,124,126,-2,0,1,0,0,0,1,0.005034838803112507
2024-10-23-PHX-LAC,2024-10-23,,PHX,LAC,5.0,-5.0,-5.001894776825793,113,116,-3,1,0,0,0,0,1,2.001894776825793
2024-10-23-GSW-POR,2024-10-23,,GSW,POR,7.5,-7.5,-7.444402664899826,104,139,-35,0,1,0,0,0,1,27.555597335100174
2024-10-24-BOS-WAS,2024-10-24,,BOS,WAS,14.0,-14.0,-14.25398650765419,102,122,-20,0,0,1,0,0,1,5.74601349234581
2024-10-24-SAS-DAL,2024-10-24,,SAS,DAL,-9.0,9.0,9.027922846376896,120,109,11,1,1,1,1,1,1,1.972077153623104
2024-10-24-OKC-DEN,2024-10-24,,OKC,DEN,-2.0,2.0,2.1039202362298965,87,102,-15,0,1,0,0,1,0,17.103920236229897
2024-10-24-MIN-SAC,2024-10-24,,MIN,SAC,1.0,-1.0,-0.6990470588207245,115,117,-2,0,1,0,0,0,1,1.3009529411792755
2024-10-25-BKN-ORL,2024-10-25,,BKN,ORL,-12.0,12.0,12.045008286833763,116,101,15,1,1,1,1,1,1,2.954991713166237
2024-10-25-PHI-TOR,2024-10-25,,PHI,TOR,5.5,-5.5,-5.177264094352722,115,107,8,1,1,1,1,0,0,13.177264094352722
2024-10-25-CHA-ATL,2024-10-25,,CHA,ATL,-5.5,5.5,5.493094977457076,125,120,5,0,0,1,1,1,1,0.4930949774570763
2024-10-25-DET-CLE,2024-10-25,,DET,CLE,-10.5,10.5,10.587897755205631,113,101,12,1,1,1,1,1,1,1.4121022447943687
2024-10-25-IND-NYK,2024-10-25,,IND,NYK,-4.5,4.5,4.480283537879586,123,98,25,1,0,0,1,1,1,20.519716462120414
2024-10-25-MEM-HOU,2024-10-25,,MEM,HOU,-4.0,4.0,4.00226821238175,128,108,20,1,1,1,1,1,1,15.99773178761825
2024-10-25-CHI-MIL,2024-10-25,,CHI,MIL,-9.0,9.0,8.634683936834335,122,133,-11,0,0,1,0,1,0,19.634683936834335
2024-10-25-GSW-UTA,2024-10-25,,GSW,UTA,6.5,-6.5,-6.284351110458374,86,127,-41,0,1,0,0,0,1,34.715648889541626
2024-10-25-PHX-LAL,2024-10-25,,PHX,LAL,-1.5,1.5,1.4675079882144928,123,116,7,1,0,0,1,1,1,5.532492011785507
2024-10-25-NOP-POR,2024-10-25,,NOP,POR,6.5,-6.5,-6.280194938182831,103,105,-2,1,1,1,0,0,1,4.280194938182831
2024-10-26-LAC-DEN,2024-10-26,,LAC,DEN,-7.5,7.5,7.481412094086409,104,109,-5,0,0,1,0,1,0,12.481412094086409
2024-10-26-MIA-CHA,2024-10-26,,MIA,CHA,6.0,-6.0,-5.791877821087837,106,114,-8,0,1,0,0,0,1,2.208122178912163
2024-10-26-BOS-DET,2024-10-26,,BOS,DET,12.5,-12.5,-12.421921588480473,118,124,-6,1,1,1,0,0,1,6.421921588480473
2024-10-26-CLE-WAS,2024-10-26,,CLE,WAS,9.5,-9.5,-9.388298623263836,116,135,-19,0,1,0,0,0,1,9.611701376736164
2024-10-26-OKC-CHI,2024-10-26,,OKC,CHI,9.5,-9.5,-9.44213691353798,95,114,-19,0,1,0,0,0,1,9.55786308646202
2024-10-26-ORL-MEM,2024-10-26,,ORL,MEM,-1.0,1.0,1.0191829111427069,124,111,13,1,1,1,1,1,1,11.980817088857293
2024-10-26-TOR-MIN,2024-10-26,,TOR,MIN,-15.0,15.0,15.174742385745049,112,101,11,0,1,0,1,1,1,4.1747423857450485
2024-10-26-HOU-SAS,2024-10-26,,HOU,SAS,1.5,-1.5,-1.4589827135205269,109,106,3,1,1,1,1,0,0,4.458982713520527
2024-10-26-DAL-PHX,2024-10-26,,DAL,PHX,3.5,-3.5,-3.21957665681839,114,102,12,1,1,1,1,0,0,15.21957665681839
2024-10-26-SAC-LAL,2024-10-26,,SAC,LAL,-1.0,1.0,0.9961055624298752,131,127,4,1,0,0,1,1,1,3.003894437570125
2024-10-27-PHI-IND,2024-10-27,,PHI,IND,-8.0,8.0,8.032407015562057,114,118,-4,0,1,0,0,1,0,12.032407015562057
2024-10-27-MIL-BKN,2024-10-27,,MIL,BKN,8.5,-8.5,-8.356289848685265,115,102,13,1,1,1,1,0,0,21.356289848685265
2024-10-27-NOP-POR,2024-10-27,,NOP,POR,6.5,-6.5,-6.259869039058685,125,103,22,1,1,1,1,0,0,28.259869039058685
2024-10-27-ATL-OKC,2024-10-27,,ATL,OKC,-10.5,10.5,10.220875203609468,128,104,24,1,0,0,1,1,1,13.779124796390532
2024-10-27-LAC-GSW,2024-10-27,,LAC,GSW,-9.0,9.0,9.032407015562056,104,112,-8,0,1,0,0,1,0,17.032407015562057
2024-10-28-IND-ORL,2024-10-28,,IND,ORL,-5.5,5.5,5.833884060382843,119,115,4,0,1,0,1,1,1,1.833884060382843
2024-10-28-WAS-ATL,2024-10-28,,WAS,ATL,-8.0,8.0,7.62166428565979,119,121,-2,0,0,1,0,1,0,9.62166428565979
2024-10-28-MIL-BOS,2024-10-28,,MIL,BOS,-9.0,9.0,9.613628566265106,119,108,11,1,1,1,1,1,1,1.3863714337348938
2024-10-28-DET-MIA,2024-10-28,,DET,MIA,-8.5,8.5,8.467967823147774,106,98,8,0,0,1,1,1,1,0.46796782314777374
2024-10-28-CLE-NYK,2024-10-28,,CLE,NYK,-3.0,3.0,3.661903083324432,104,110,-6,0,1,0,0,1,0,9.661903083324432
2024-10-28-DEN-TOR,2024-10-28,,DEN,TOR,8.5,-8.5,-8.712858825922012,125,127,-2,1,0,0,0,0,1,6.712858825922012
2024-10-28-CHI-MEM,2024-10-28,,CHI,MEM,-5.0,5.0,4.700606107711792,123,126,-3,0,0,1,0,1,0,7.700606107711792
2024-10-28-HOU-SAS,2024-10-28,,HOU,SAS,2.5,-2.5,-1.8778199553489685,101,106,-5,0,1,0,0,0,1,3.1221800446510315
2024-10-28-UTA-DAL,2024-10-28,,UTA,DAL,-11.5,11.5,11.16867184638977,110,102,8,0,0,1,1,1,1,3.1686718463897705
2024-10-28-LAL-PHX,2024-10-28,,LAL,PHX,-4.5,4.5,4.871901452541351,109,105,4,0,1,0,1,1,1,0.8719014525413513
2024-10-28-POR-SAC,2024-10-28,,POR,SAC,-13.0,13.0,13.0467461720109,111,98,13,0,1,0,1,1,1,0.046746172010900366
2024-10-29-DEN-BKN,2024-10-29,,DEN,BKN,5.5,-5.5,-5.347634255886078,139,144,-5,1,1,1,0,0,1,0.3476342558860779
2024-10-29-DAL-MIN,2024-10-29,,DAL,MIN,-4.0,4.0,4.260028958320618,114,120,-6,0,1,0,0,1,0,10.260028958320618
