total_fga,rim_attempt_rate,corner_3_rate,non_corner_3_rate,pullup_3_rate,catch_shoot_3_rate,short_mid_rate,long_mid_rate,mid_range_rate,ftr,shooting_fouls_per_100,and1_rate,assisted_2pt_rate,assisted_3pt_rate,assists_per_100,turnovers_per_100,ast_to_ratio,steals_per_100,blocks_per_100,def_reb_share,total_fouls_per_100,total_possessions,games_played,season,max_date,player_name
1167,0.2930591259640103,0.021422450728363324,0.26649528706083975,0.11139674378748929,0.17652099400171378,0.3341902313624679,0.08483290488431877,0.4190231362467866,0.23479005998286204,2.011922503725782,0.0,0.2617283950617284,0.7058823529411765,11.525086934923001,5.265772478887233,2.188679245283019,1.3909587680079483,0.546448087431694,0.07825507825507826,3.8748137108792844,4026,62,2023-2024,2024-04-13,Cade Cunningham
205,0.03414634146341464,0.18048780487804877,0.7609756097560976,0.1902439024390244,0.751219512195122,0.01951219512195122,0.004878048780487805,0.024390243902439025,0.11707317073170732,2.0338983050847457,0.0,0.5,0.9859154929577465,1.966101694915254,1.0847457627118644,1.8125,0.9491525423728813,0.2033898305084746,0.04770017035775128,4.135593220338983,1475,58,2023-2024,2024-04-13,Caleb Houstan
547,0.3126142595978062,0.07861060329067641,0.3546617915904936,0.07861060329067641,0.3546617915904936,0.20109689213893966,0.05301645338208409,0.25411334552102377,0.1809872029250457,1.8357487922705313,0.0,0.5761589403973509,0.9058823529411765,4.541062801932367,2.4476650563607083,1.855263157894737,1.4814814814814816,0.9017713365539453,0.08052360174533915,4.090177133655395,3105,63,2023-2024,2024-04-13,Caleb Martin
241,0.37344398340248963,0.15767634854771784,0.3153526970954357,0.07468879668049792,0.3983402489626556,0.11618257261410789,0.03734439834024896,0.15352697095435686,0.22406639004149378,1.900950475237619,0.0,0.7368421052631579,1.0,2.451225612806403,1.7008504252126064,1.4411764705882353,2.351175587793897,0.8504252126063032,0.04882943143812709,3.5017508754377187,1999,49,2023-2024,2024-04-13,Cam Reddish
1178,0.199490662139219,0.027164685908319185,0.31069609507640067,0.1960950764006791,0.14176570458404075,0.3760611205432937,0.0865874363327674,0.4626485568760611,0.27843803056027167,1.8419647624132407,0.0,0.4350132625994695,0.6805555555555556,5.072076882007474,3.2835024025627337,1.5447154471544715,1.2012813667912439,0.42712226374799783,0.060656281073914485,3.7907100907634814,3746,65,2023-2024,2024-04-13,Cam Thomas
450,0.36444444444444446,0.042222222222222223,0.44,0.17777777777777778,0.30444444444444446,0.12,0.03333333333333333,0.15333333333333332,0.24222222222222223,2.082018927444795,0.0,0.5887096774193549,0.9240506329113924,1.7665615141955835,2.8391167192429023,0.6222222222222222,1.8927444794952681,1.0094637223974765,0.10497237569060773,4.037854889589906,1585,46,2023-2024,2024-04-13,Cam Whitmore
619,0.2197092084006462,0.11308562197092084,0.45718901453957994,0.1567043618739903,0.4135702746365105,0.1583198707592892,0.051696284329563816,0.210016155088853,0.17609046849757673,1.808066759388039,0.0,0.6014492753623188,0.9565217391304348,4.798331015299027,1.9819193324061197,2.4210526315789473,1.7037552155771907,0.521557719054242,0.08252631578947368,3.68567454798331,2876,58,2023-2024,2024-04-13,Cameron Johnson
472,0.20127118644067796,0.057203389830508475,0.4957627118644068,0.211864406779661,0.3411016949152542,0.21610169491525424,0.029661016949152543,0.2457627118644068,0.1419491525423729,2.622673434856176,0.0,0.44554455445544555,0.7766990291262136,8.544839255499154,2.7495769881556686,3.1076923076923078,1.7343485617597292,0.4653130287648054,0.05115778136779752,5.414551607445008,2364,77,2023-2024,2024-04-13,Cameron Payne
820,0.3207317073170732,0.05365853658536585,0.35365853658536583,0.17926829268292682,0.2280487804878049,0.2634146341463415,0.00853658536585366,0.27195121951219514,0.2451219512195122,1.7660044150110374,0.0,0.4152542372881356,0.7614678899082569,9.547461368653423,3.2284768211920527,2.9572649572649574,2.097130242825607,0.9381898454746136,0.0854004252303331,3.3940397350993377,3624,68,2023-2024,2024-04-13,Caris LeVert
436,0.26376146788990823,0.18807339449541285,0.35091743119266056,0.16055045871559634,0.37844036697247707,0.15137614678899083,0.045871559633027525,0.19724770642201836,0.08486238532110092,2.2300095571838168,0.0,0.6521739130434783,0.9587628865979382,3.7910162472124878,1.4335775724753106,2.6444444444444444,2.421153233513858,1.1468620579802484,0.056231640788921525,4.07773176170755,3139,81,2023-2024,2024-04-13,Cason Wallace
