,rim_attempt_rate,corner_3_rate,non_corner_3_rate,short_mid_rate,long_mid_rate,mid_range_rate,pullup_3_rate,catch_shoot_3_rate,ftr,shooting_fouls_per_100,and1_rate,assisted_2pt_rate,assisted_3pt_rate,assists_per_100,turnovers_per_100,ast_to_ratio,steals_per_100,blocks_per_100,def_reb_share,total_fouls_per_100
and1_rate,-0.014358701118510323,-0.017118328250892153,0.042695325792525905,-0.04795696153015073,0.02731443045689373,-0.03426369738623216,0.006334227276289087,0.036626650772094246,0.026167629149837383,-0.02068348757026839,1.0,0.0819398897232538,-0.050857431998504676,-0.029618011289590625,-0.03263957234501363,0.009409864012620948,-0.10204400830485756,-0.07311915848667963,0.009273431008795066,-0.04302287452557582
assisted_2pt_rate,0.25152788209747456,0.24666350189646571,-0.05355103458608923,-0.372651643884604,-0.3867824910485821,-0.43546657658139154,-0.4712128621169117,0.2697854050522264,-0.013238307364865186,0.3522899727267292,0.0819398897232538,1.0,0.1841360802639868,-0.6965665761496052,-0.47970887714559346,-0.33896713002022794,-0.19983101303335793,0.3374365110735234,0.2515487554754292,0.2757553239383175
assisted_3pt_rate,-0.3714610589221718,0.4725213351370047,0.3514322796620243,-0.14682203624058057,-0.031277743211817685,-0.13735802427494792,-0.07608103575186431,0.5557860159130525,-0.35801675874787414,-0.1009356831216269,-0.050857431998504676,0.1841360802639868,1.0,-0.17202007950436624,-0.27495235485000424,0.07220332867485549,0.033950250298010604,-0.167204743913624,-0.2205089488785332,-0.13005552396614745
assists_per_100,-0.21406149814711048,-0.3428464857192376,0.0272193021286135,0.4316570017010576,0.27873134767283464,0.4565944516108779,0.41601918220069517,-0.2973032581758576,-0.0027404400520451328,-0.3572455827360368,-0.029618011289590625,-0.6965665761496052,-0.17202007950436624,1.0,0.5890240625943802,0.5653300233166821,0.21854834257030262,-0.2846878008014504,-0.1340217227955441,-0.29081989641823613
turnovers_per_100,0.08485699663279644,-0.5598809252988032,-0.24070943606335754,0.46283912737916655,0.2410011644680015,0.4732317679444374,0.1562153908869075,-0.5078531552371376,0.2625234667551829,-0.09180856261944315,-0.03263957234501363,-0.47970887714559346,-0.27495235485000424,0.5890240625943802,1.0,-0.22700859473676047,0.021498296037596665,0.0022435707982227534,0.19602091406365438,0.01390534271120923
ast_to_ratio,-0.31218594232570934,0.10742923685366397,0.23629273828873265,0.07468206805163848,0.12623412288978736,0.10103349426282639,0.3192046126782352,0.11212583132265358,-0.22984942443153406,-0.32266279582495894,0.009409864012620948,-0.33896713002022794,0.07220332867485549,0.5653300233166821,-0.22700859473676047,1.0,0.2600307082892876,-0.30192935315175035,-0.31535301855747494,-0.33714069062697366
steals_per_100,-0.004578182333731922,0.08170359415994605,-0.012299431313123563,-0.0014768204680167614,-0.028845586498046707,-0.00944129028485804,0.05664714764328435,-0.018538090876490124,-0.0725847250959204,-0.045088102089311,-0.10204400830485756,-0.19983101303335793,0.033950250298010604,0.21854834257030262,0.021498296037596665,0.2600307082892876,1.0,0.01788491829923151,-0.1526262902231149,0.07282001580563696
blocks_per_100,0.5583654081024791,-0.2776945230748934,-0.465406002627916,-0.011493581008521013,-0.24098093999838696,-0.0781353156890265,-0.48192683961029004,-0.31928993744532624,0.3416598987089479,0.4228794756861216,-0.07311915848667963,0.3374365110735234,-0.167204743913624,-0.2846878008014504,0.0022435707982227534,-0.30192935315175035,0.01788491829923151,1.0,0.5421337437494064,0.3795154912408678
def_reb_share,0.536568078826689,-0.42185289145942323,-0.5054788144467939,0.15112945119734864,-0.1802804701504897,0.08136587302610734,-0.487724740675253,-0.4022762488157864,0.44889808795629016,0.2600130099227752,0.009273431008795066,0.2515487554754292,-0.2205089488785332,-0.1340217227955441,0.19602091406365438,-0.31535301855747494,-0.1526262902231149,0.5421337437494064,1.0,0.24856493774886143
total_fouls_per_100,0.45499821141472047,-0.1333915437473834,-0.3377592432897705,-0.07773832299528372,-0.3519642754485999,-0.16747492788090726,-0.41074183355650207,-0.17849203414383943,0.22456420350319575,0.8847379402463542,-0.04302287452557582,0.2757553239383175,-0.13005552396614745,-0.29081989641823613,0.01390534271120923,-0.33714069062697366,0.07282001580563696,0.3795154912408678,0.24856493774886143,1.0
