player_name,cluster,cluster_name,games_played
Jordan Clarkson,23,Primary Scoring Guard (Facilitator),55
Jordan Goodwin,19,High-Usage Versatile Role Player (Facilitator),56
Jordan Hawkins,2,Pull-Up Shooter,67
Jordan McLaughlin,4,Corner Specialist (Off-Ball),55
Jordan Nwora,22,Role Player,51
Jordan Poole,8,Primary Shot-Creating Guard (Facilitator),78
Jose Alvarado,13,Pull-Up Shooter (Defensive),55
Josh Giddey,19,High-Usage Versatile Role Player (Facilitator),79
Josh Green,14,Two-Way Wing,56
Josh Hart,1,Scoring Big,80
Josh Minott,16,Scoring Big (Defensive),31
Josh Okogie,18,Corner Specialist (Off-Ball),59
Josh Richardson,2,Pull-Up Shooter,43
Jrue Holiday,8,Primary Shot-Creating Guard (Facilitator),69
Julian Champagnie,3,Low-Usage Corner Specialist (Off-Ball),73
Julian Phillips,18,Corner Specialist (Off-Ball),40
Julian Strawther,13,Pull-Up Shooter (Defensive),49
Julius Randle,12,High-Usage Slashing Wing,46
Justin Holiday,4,Corner Specialist (Off-Ball),56
Justin Minaya,18,Corner Specialist (Off-Ball),33
Jusuf Nurkic,12,High-Usage Slashing Wing,75
KJ Martin,17,Low-Usage Defensive Anchor (Defensive),60
Karl-Anthony Towns,12,High-Usage Slashing Wing,61
Kawhi Leonard,23,Primary Scoring Guard (Facilitator),68
Keegan Murray,2,Pull-Up Shooter,76
Keita Bates-Diop,18,Corner Specialist (Off-Ball),53
Keldon Johnson,14,Two-Way Wing,69
Kelly Olynyk,12,High-Usage Slashing Wing,77
Kelly Oubre Jr.,1,Scoring Big,67
Kenrich Williams,4,Corner Specialist (Off-Ball),68
Kentavious Caldwell-Pope,2,Pull-Up Shooter,75
Keon Ellis,13,Pull-Up Shooter (Defensive),56
Kessler Edwards,4,Corner Specialist (Off-Ball),53
Kevin Durant,7,High-Usage Mid-Range Playmaker (Aggressive),74
Kevin Huerter,3,Low-Usage Corner Specialist (Off-Ball),64
Kevin Knox II,18,Corner Specialist (Off-Ball),31
Kevin Love,14,Two-Way Wing,54
Kevon Looney,24,Post-Up Center (Aggressive),73
Keyonte George,8,Primary Shot-Creating Guard (Facilitator),74
Khris Middleton,7,High-Usage Mid-Range Playmaker (Aggressive),54
Killian Hayes,23,Primary Scoring Guard (Facilitator),42
Kira Lewis Jr.,19,High-Usage Versatile Role Player (Facilitator),27
Klay Thompson,2,Pull-Up Shooter,76
Kobe Brown,18,Corner Specialist (Off-Ball),43
Kris Dunn,19,High-Usage Versatile Role Player (Facilitator),66
Kris Murray,18,Corner Specialist (Off-Ball),61
Kristaps Porzingis,15,Low-Usage 3&D Wing (Defensive),57
Kyle Anderson,0,Primary Mid-Range Playmaker (Facilitator),78
Kyle Kuzma,22,Role Player,70
Kyle Lowry,13,Pull-Up Shooter (Defensive),59
Kyrie Irving,23,Primary Scoring Guard (Facilitator),58
Lamar Stevens,10,Mid-Range Scorer (Defensive),38
Landry Shamet,13,Pull-Up Shooter (Defensive),46
Larry Nance Jr.,16,Scoring Big (Defensive),60
Lauri Markkanen,15,Low-Usage 3&D Wing (Defensive),55
LeBron James,11,High-Usage Scoring Guard (Self-Creator),71
Leaky Black,15,Low-Usage 3&D Wing (Defensive),25
Lester Quinones,13,Pull-Up Shooter (Defensive),36
Lindy Waters III,3,Low-Usage Corner Specialist (Off-Ball),37
Lonnie Walker IV,2,Pull-Up Shooter,57
Luguentz Dort,18,Corner Specialist (Off-Ball),78
Luka Doncic,5,High-Usage Elite Perimeter Creator (Facilitator),70
Luka Samanic,15,Low-Usage 3&D Wing (Defensive),42
Luke Kennard,3,Low-Usage Corner Specialist (Off-Ball),39
Luke Kornet,17,Low-Usage Defensive Anchor (Defensive),62
Malachi Flynn,8,Primary Shot-Creating Guard (Facilitator),68
Malaki Branham,22,Role Player,75
Malcolm Brogdon,23,Primary Scoring Guard (Facilitator),39
