feature,group,mean,std,min,max,missing_frac
home_b2b,current_late,0.6588235294117647,0.47691821142849733,False,True,0.0
away_b2b,current_late,0.6588235294117647,0.47691821142849733,False,True,0.0
home_three_in_four,current_late,0.6588235294117647,0.47691821142849733,False,True,0.0
away_three_in_four,current_late,0.6588235294117647,0.47691821142849733,False,True,0.0
home_off_rating_norm,current_all,0.17753865983274186,4.974713415267705,-12.444250079239694,13.361290063216572,0.0
away_off_rating_norm,current_all,0.21948460577868747,5.154086596406018,-12.405737969990199,13.224876721070316,0.0
home_def_rating_norm,current_all,0.27786298415706584,4.792268770591914,-11.408570145324916,17.028483176799725,0.0
away_def_rating_norm,current_all,0.11391703821111997,4.585447701430286,-11.081265418158935,13.543296466404172,0.0
home_pace_norm,current_all,-0.1714410418743292,2.643953456279811,-6.135502385164756,6.589080895294018,0.0
away_pace_norm,current_all,-0.06354914998243798,2.5265557057358583,-5.895502385164761,6.670768106619093,0.0
home_three_pt_rate_norm,current_all,0.0016151081928495997,0.04860159338080245,-0.09590034731498798,0.09761645422943221,0.0
away_three_pt_rate_norm,current_all,0.002085378463119869,0.050627746148780774,-0.10690034731498799,0.11233982700849376,0.0
home_def_reb_rate_norm,current_all,-0.0024135232445479647,0.04284252953178985,-0.09000560224089627,0.07588657214345296,0.0
away_def_reb_rate_norm,current_all,-0.001240550271574994,0.04030364539201007,-0.09085935414998658,0.07894739543238383,0.0
home_assist_rate_norm,current_all,0.005796688058541173,0.0453286196953903,-0.13408152734778123,0.10569991617770325,0.0
away_assist_rate_norm,current_all,0.006153444815297932,0.04876361316311848,-0.15185021398002857,0.11287057122198119,0.0
home_turnover_rate_norm,current_all,0.0009097463389086849,0.013333346987437024,-0.028382168903465232,0.028800253204749854,0.0
away_turnover_rate_norm,current_all,0.00025028687944922445,0.014793355661162319,-0.03263905080179269,0.0355715534829496,0.0
home_rest_days,current_all,1.0594594594594595,0.6689785608848906,0.0,3.0,0.0
away_rest_days,current_all,1.037837837837838,0.6022382849183424,0.0,2.0,0.0
home_b2b,current_all,0.6,0.4912273891245143,False,True,0.0
away_b2b,current_all,0.6378378378378379,0.4819296309760284,False,True,0.0
home_three_in_four,current_all,0.6,0.4912273891245143,False,True,0.0
away_three_in_four,current_all,0.6378378378378379,0.4819296309760284,False,True,0.0
home_off_rating_norm,training_all,1.0144808317189016,4.944482207081782,-18.1417713725492,19.13413651683223,0.00041025641025641023
away_off_rating_norm,training_all,1.167819637382764,5.0019584532833195,-16.44354722186266,16.83447342823618,0.00041025641025641023
home_def_rating_norm,training_all,0.9053201504137511,4.820118376922481,-22.032165384626126,21.423088114726625,0.00041025641025641023
away_def_rating_norm,training_all,0.8859645173335131,4.7895311980862125,-21.15119310764264,16.652837182613297,0.00041025641025641023
home_pace_norm,training_all,-0.53124288851605,2.491098560874377,-14.762846606033719,8.509091994533861,0.00041025641025641023
away_pace_norm,training_all,-0.4706251992076157,2.5218483911149834,-11.762846606033719,9.573898376644607,0.00041025641025641023
home_three_pt_rate_norm,training_all,0.0005075105038386672,0.04456612563979224,-0.15609814323607424,0.15402706233392216,0.0
away_three_pt_rate_norm,training_all,0.00031510024742841116,0.04436498616123808,-0.14009814323607422,0.14991050820004043,0.0
home_def_reb_rate_norm,training_all,0.0022248357189287135,0.03355560485271114,-0.1104245516192407,0.1279148471615721,0.0
away_def_reb_rate_norm,training_all,0.00257724597533897,0.033809863960758836,-0.1093927507304232,0.10806615307318701,0.0
home_assist_rate_norm,training_all,0.0022331041102580493,0.04325313039980476,-0.1717246915666723,0.11780263311196548,0.0
away_assist_rate_norm,training_all,0.00250161693077087,0.043403356659087164,-0.16911406029096548,0.11348992848238304,0.0
home_turnover_rate_norm,training_all,-0.002407667668122562,0.012319966552505406,-0.030421917314755853,0.051081514680791446,0.0
away_turnover_rate_norm,training_all,-0.002641308693763588,0.012578417589885895,-0.030421917314755853,0.05153658702412178,0.0
home_rest_days,training_all,1.3956923076923078,0.7967040148845127,0.0,3.0,0.0
away_rest_days,training_all,1.319179487179487,0.8010247742431671,0.0,3.0,0.0
home_b2b,training_all,0.5023589743589744,0.5000457245803485,False,True,0.0
away_b2b,training_all,0.5027692307692307,0.5000436204576609,False,True,0.0
home_three_in_four,training_all,0.5023589743589744,0.5000457245803485,False,True,0.0
away_three_in_four,training_all,0.5027692307692307,0.5000436204576609,False,True,0.0
